	Iozone: Performance Test of File I/O
	        Version $Revision: 3.492 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Mon Nov 22 17:26:27 2021

	Excel chart generation enabled
	Auto Mode
	Command line used: iozone -Ra
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    56337   211899    36677    50957    22914    93019    25010    187088     35754    38272   520419   201255   225992
              64       8   315136   809014   718114  1124074   939223   108686   627470     83786    821391   503814   743988   555990   703068
              64      16   400168    73993    38163    49419   473593   357529    81324    113512    939223   542506   467815   889431  1279447
              64      32   365812  1066042    42779  1336792  1226821   799377    99834    852702   1310683   385790   752329    65379  1105556
              64      64   378715   263480  1421755  1828508  1392258  1002351    65236    874936   1279447   760859  1188789   942521   552557
             128       4    40315   535368   191070   847059   210141   529038    50572    133324     82789   484625    69634    88028   767171
             128       8   132632   800337  1082825  1231904  1032829   194180   780556     82256    848397   144327   576780   935631  1102844
             128      16   503723   178019  1319723   169316  1142750   739689    81792    113077    158424   171534   805138  1032829  1291158
             128      32   533241   263843  1436229  1539168  1377278   819893   927549    864797   1303699  1015251   132632  1133103  1487977
             128      64    54285   482881    72395  1618028  1057236   969421   138055    940549   1363288   805138  1406136   240231  1508887
             128     128    42244   857887    83666  1911894  1618028   142526   193969   1096089   1359835  1096089   992724  1172704   175861
             256       4    97375   646129   288655   326881   272053   281910   322851    361066    249544    38232   362651   797843   268113
             256       8    54527   797843  1079348  1208072   142617   569985   267245    716876    836374   264481   146369   290529   350231
             256      16   544547   398153  1319408  1280084  1067543   173441  1028679    267179   1260547   807442   290608   256274   955451
             256      32   144712  1062263   253491  1407621  1334162   889002  1089202    392620   1422540    89824   218426  1195962   148577
             256      64   598249   287034  1543163   330809  1437779   991629  1254656   1132871   1588832  1040643   169632  1312954   122954
             256     128   235479   194525  1729594  1814348   140582   375328  1300235    227980    249486   790209   318825   165043  1707589
             256     256   282875   376512   101624  1842366   140343   688381  1293967    294595    212294  1012194  1248819   104655  1471270
             512       4   167212   156387   270743   186789   145663   154087   190975    137414    164158   175164   132203   177407   281165
             512       8   259238   167043   294587   167761   201721   414908   170559    108542    469312   292580   164208   960496   293419
             512      16   158126   949875  1322500   603089   147727   374857   130144    459964    498509   209760   244621   195780   426019
             512      32   109661   473660   196246   250353   509993   302598   652174    175278   1484293   143665   442524   329075   328020
             512      64   327170   216484  1550747   522908   344103  1069035   319622    191111    638408   159749   497585   156103  1514652
             512     128   157396  1185272  1662389  1635797   239145  1143004   284630    200067    721163   518239   185434   282273   608041
             512     256   151789   278901  1625889  1689859  1442420   525082  1402845   1091863    337293   220123   253216  1496706   495176
             512     512   402844   468085   298228  1610042   320385  1163439   467575    308599   1233614   242768   273223  1450212   517614
            1024       4   115587   252336   255033   259768   117822   204553   253273    162541    180219   201652   146307   199341   442880
            1024       8   189248   177868   222943   812701   289519   423993   435559    249637    347945   252217   356789   269686   390849
            1024      16   280463   515862   358158   283499   350557   554417   350586    313345    632467   178393   321917   366220   840698
            1024      32   244284   588528   398464   833196   372768   514071   353210    251405    342261   353704   531963  1206178   515862
            1024      64   231624   672369   374132  1023145   358307   532755   341092    396734    796868   339635   527325   467158   469970
            1024     128   343520   736094   381951   850521  1526390   287638   533880    500240    467973   293335   533085   340875   755649
            1024     256   276527   471880   609145  1064479   474697   468637   529732    579163    851195   327990   503701   530517   641633
            1024     512   334869   337050   597036   964986   507451   611661   496367    349502    527585   490920  1013967   350701   773476
            1024    1024   293496   921705   919140   376890   283032   584444   511256    353850    497574   539785   525712   568583   510709
            2048       4   153859   227175   521113   490298   370610   261324   214561    130753    406685   315762   442328   474849   658091
            2048       8   411754   614628   716317   933099   401871   617634   664300    483264    691631   458354   391362   675054   929263
            2048      16   486687   656431   492773  1126429   739886   757369   714113    591397    830442   476720   730076   871914  1023000
            2048      32   356801   883483   781698  1398828   801912   893964  1125839    796263    961509   679701   889705  1129094  1298788
            2048      64   362922   906607   909006  1518244   864543  1020933   882031    724962    844235   669529   828120   901470  1223322
            2048     128   660418  1096941  1060642  1461916  1022513  1020933   441646    827482   1103990   639807   861249   895922  1484913
            2048     256   647866  1124071   595703   743923   923370  1057768   924662    872180   1002465   670574   943865   806278  1545840
            2048     512   571108  1102148  1412398  1561009   723435  1093450  1151804    869619   1165083   769100   931783   903746  1360931
            2048    1024   511341   721915  1630647  1248028   865239  1100454   931278   1019963    546127   598276  1382840  1277540  1473451
            2048    2048   650368  1113002  1124071   722948   863760  1040598  1102856    947718    925060   746055  1049625  1154436  1216049
            4096       4   276288   435884   603674   638590   412325   351292   456379    365452    434539   365717   350739   543824   569684
            4096       8   417445   682450   973595   935783   666563   558643   703896    526896    705225   479686   560101   745530   964900
            4096      16   443250   879539   920885  1134598   795187   709390   762912    755032    829672   662782   710475   804534  1172943
            4096      32   509700   791341  1034320  1350851  1218274   790140  1002688    848899    962845   746081   770197  1022440  1220091
            4096      64   587410  1040144  1332929  1383375  1043303  1024269  1274773    874480   1052442   773143   423537  1106393  1377717
            4096     128   518280  1165621  1233760  1467636  1162624  1115445  1055676    879719   1220438   804534   912231  1491721  1582114
            4096     256   595514   715714  1162309  1548041  1227062   932836  1120391   1030474   1151172   762336  1041153  1271282  1299064
            4096     512   546506  1073956  1229961  1448823  1193145   730380  1170306   1122221   1156441   794231   958815  1255672  1407516
            4096    1024   594319  1081256  1517548  1442255  1237492  1180032   886391    951223    913492   805326  1031712  1046480   445411
            4096    2048   625728  1089622  1198305  1326855  1281620   927548  1080168    832003   1231902   749629  1262222  1191407  1213970
            4096    4096   669185   929002  1398806  1135273  1353192  1011603  1263801   1106465   1178737  1063913   946142  1178010  1381484
            8192       4   295985   429395   603460   667921   494357   401902   503042    373005    489393   404466   399569   611428   631568
            8192       8   392732   682434  1014614  1023744   815297   635047   759368    815858    739478   537107   592513   828128   854766
            8192      16   480020   841576   962058  1171136   962058   718855   871769    814215    904493   614457   727085   924523  1045042
            8192      32   529402   859965  1193303  1209347  1106743   892488   952114    936671   1071839   746288   831757  1158344  1250499
            8192      64   553887  1039855  1270662  1346711  1332040   980144  1304231   1027080   1326231   781528   885541  1248591  1554752
            8192     128   404742  1097411  1415565  1446554  1377706  1133692  1483785    997588   1293917   903994   914800  1408543  1628592
            8192     256   616541  1126334  1527180  1615727  1183316  1173816  1141564   1008628   1423718   761758   899332  1358532  1478168
            8192     512   652485   949667  1375445  1464434  1296212  1141109  1395330   1043043   1207901   845324   868903  1324288  1411436
            8192    1024   543272  1169820  1332247  1567234  1414399  1073111  1375886   1060328   1367399   840033   862144  1265188  1644966
            8192    2048   640803  1081147  1420480  1303836  1455008  1029017  1162301    979417   1248001   938154   939668  1307756  1006265
            8192    4096   627737  1135415  1366474  1414108  1300529  1033164  1253327   1159360   1210412   852095  1362356  1224343  1377264
            8192    8192   685812  1160809  1463124  1526909  1383308  1088787  1207731   1026589   1403709  1157875  1037625  1462875  1305272
           16384       4   309675   526070   695296   741391   580666   444913   574939    568828    537409   446968   469578   657226   642888
           16384       8   428452   666423   887690   938472   754257   603481   757182    791308    775389   549097   596260   890093   946447
           16384      16   500335   880287  1062916  1224601  1030960   748742   991654    867748   1014297   684894   699813  1037497  1137781
           16384      32   530157   928857  1273530  1375412  1143498   903445  1174073   1030635   1143898   834938   862542   978564  1292307
           16384      64   618521  1100113  1371843  1603280  1358768  1031734  1302398   1109652    942204   846113   882707  1274333  1517998
           16384     128   631753  1089370  1375660  1503287  1363297  1141428  1467054   1217420   1300106   887644   988047  1484580  1539283
           16384     256   661981  1206561  1586549  1690482  1453648  1189395  1546697   1388614   1373598   929385   936758  1552568  1712173
           16384     512   528124  1131337  1475369  1641540  1374614  1132026  1375330   1130313   1517327   844574   847679  1351580  1570414
           16384    1024   627066  1157969  1616099  1616898  1482979  1153073  1474831   1005894   1388838   805830   861364  1492966  1615795
           16384    2048   639174  1106739  1299074  1427794  1318313  1063541  1178038    967855   1270963   823769   891837  1200994  1373241
           16384    4096   599333  1127680  1364217  1404565  1233835  1070783  1305714   1104995   1309046  1010672  1078395  1211838  1388221
           16384    8192   648279  1209513  1447066  1436299  1273932  1151199  1331597   1105689   1347472   929322  1470098  1335712  1443389
           16384   16384   710338  1236077  1488794  1593317  1545514  1116685  1440092   1215697   1460258  1167292  1149101  1314606  1418393
           32768      64   613737  1088566  1424137  1549816  1272538  1069240  1367323   1212007   1398673   938695   962297  1419694  1374447
           32768     128   649023  1183555  1388471  1561064  1471401  1140195  1404375   1194562   1413009   953332   965610  1379593  1549606
           32768     256   601921   923091  1126818  1516972  1445055  1073449  1201265   1281102   1501329   932416   975762  1495709  1507951
           32768     512   620783  1207015  1606988  1606819  1528223  1193214  1541593   1175950   1567331   885527   959335  1508729  1611340
           32768    1024   669500   900095  1559718  1666577  1595015   613474   468027    320570    522091   327389   375190   566950   516121
           32768    2048   233758   525607   673962   642457   552170   412015   512505    805962    834025   316592   747378   716788   947601
           32768    4096   360777   391778   444880   391087   609105   457654   867978    296822    489409   325495   443446   685078   913040
           32768    8192   250669   425205   492915   829740   596409   462673   720493   1069274    868279   875637   568475  1160460  1314503
           32768   16384   501690   437268  1076021   856975  1163634   897608  1173470   1038279   1315975   632942   804834  1005179  1219232
           65536      64   455142   917986   927523  1276211   820810   687392   781780    907011    702323   549324   583720   836250  1237275
           65536     128   375540   653738  1075082   937971   832721   721530   675357    646675    775895   559739   658480   981959   993060
           65536     256   322737   560572   613380   839473   618381   595700   461183    494615    666375   348812   391647   678125   795995
           65536     512   282982   575351   696585   800509   859036   852721   917330   1026695   1056658   826880   644601   824600  1373024
           65536    1024   626007   887058   844632  1351197  1071616   592929   906796    664495    919247   637553   728209   968235  1197726
           65536    2048   484185   637967  1004043   807908  1158576   611047  1132565    793768    994720   677809   827831  1093759  1317671
           65536    4096   459685  1074027   984337  1032192  1204084   928165  1257212    877299    977375   565126   729084  1296020  1312794
           65536    8192   345537  1122611  1292419  1229500   988638  1105869  1233339    707954    619275   782976   570792  1154882   963439
           65536   16384   455896   823254  1345601   973933  1045048   604486  1005310    787266    933854   645834  1064931   671771  1205965
          131072      64   455085   868130   865133  1166316   970098   837327   881629    817502    894713   720757   604712  1059723  1039759
          131072     128   468886   782158   901097   921239   918603   881297   937722   1204142    824497   787678   752587  1038129  1000511
          131072     256   499097   819425  1189747  1253282  1312361   923087  1048542   1034899   1002891   655959   703372  1179723  1186688
          131072     512   466863   812125  1033918  1186483   972092   822325  1234175    737485   1039833   644855   814571  1076435  1411212
          131072    1024   512128   853443   987620  1470403   916331   835774  1109734    615566   1107298   582703   569120  1117485   788369
          131072    2048   494316   830979  1140977   881221  1010694   777626  1135470    787854   1073515   677973   627072  1099386   700339
          131072    4096   546404  1055704  1100225  1006149  1117378  1140042   972128    831943   1347689   683688   749724   918088  1278237
          131072    8192   617253   968657  1030416  1215970  1134675   857800  1130954    820841   1164742   689721   718632   978391  1225853
          131072   16384   586199   905399  1007144  1041610  1207124  1052777  1318088    878398   1126697   735281   719582  1017386  1071260
          262144      64   484577   818304  1192811  1256899  1131428   909451  1048341    917049   1036056   734937   730039  1318566  1166894
          262144     128   488959   804312  1286299  1120632  1090916   932767  1379030   1080671   1416128   685904   851445  1401000  1400161
          262144     256   560226   873973  1197485  1200198   987159   816905  1467837   1068218   1064548   680840   750967  1337469  1237609
          262144     512   552422   853560  1357584  1350393  1006144   930379  1331632    751002   1399309   805414   590159  1386336  1322135
          262144    1024   551977   936295  1246582  1424407  1056835   899555  1221673    933806   1009197   676280   611159  1234671  1121544
          262144    2048   485995   875786  1323157  1165498  1265906  1034102  1139355    677964   1382746   560070   682064  1288747   976531
          262144    4096   504977   948505  1099131  1320552  1128491   942092   884237    886214   1133821   659198   566773  1254703  1393092
          262144    8192   578773   969445  1060539  1288918  1248180   949872  1076942    777414   1164298   677712   679201  1108974  1149864
          262144   16384   520858   907547  1043675  1347583  1059326   817865  1230267    974820   1224692   663043   750941  1222538  1084632
          524288      64   319907   829752  1233375  1144263  1012860   899944  1231807   1000015   1108075   702698   702397  1072450  1213073
          524288     128   522002   850951  1315458  1226844  1083302   968209  1169862   1019953   1245159   730425   721047  1289380  1207305
          524288     256   500570   862028  1288351  1354854  1323741   965559  1302423    917334   1267480   664404   669142  1386693  1287528
          524288     512   497830   932213  1181907  1334588  1244730   934696  1301421   1003458   1283742   648751   767973  1302455  1369720
          524288    1024   512053   811823  1257366  1384251  1286478   917638  1174041    902458   1146674   680117   626046  1392552  1162594
          524288    2048   527025   896019  1101980  1065326  1158086   753127  1004702    993786   1043913   577775   613054  1054362  1162669
          524288    4096   495645   810923  1157820  1243381  1144353  1010180  1110137    862693   1006875   649565   626425  1103529  1051811
          524288    8192   534862   937539  1168811  1038969  1132109   798790  1069235    949277   1128906   607102   661843  1146029   988634
          524288   16384   529714   827767  1057964  1104708  1234211   907210  1071081    900437   1045896   640311   647754  1231381  1174614

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   56337  315136  400168  365812  378715 
"128"   40315  132632  503723  533241  54285  42244 
"256"   97375  54527  544547  144712  598249  235479  282875 
"512"   167212  259238  158126  109661  327170  157396  151789  402844 
"1024"   115587  189248  280463  244284  231624  343520  276527  334869  293496 
"2048"   153859  411754  486687  356801  362922  660418  647866  571108  511341  650368 
"4096"   276288  417445  443250  509700  587410  518280  595514  546506  594319  625728  669185 
"8192"   295985  392732  480020  529402  553887  404742  616541  652485  543272  640803  627737  685812 
"16384"   309675  428452  500335  530157  618521  631753  661981  528124  627066  639174  599333  648279  710338 
"32768"   0  0  0  0  613737  649023  601921  620783  669500  233758  360777  250669  501690 
"65536"   0  0  0  0  455142  375540  322737  282982  626007  484185  459685  345537  455896 
"131072"   0  0  0  0  455085  468886  499097  466863  512128  494316  546404  617253  586199 
"262144"   0  0  0  0  484577  488959  560226  552422  551977  485995  504977  578773  520858 
"524288"   0  0  0  0  319907  522002  500570  497830  512053  527025  495645  534862  529714 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   211899  809014  73993  1066042  263480 
"128"   535368  800337  178019  263843  482881  857887 
"256"   646129  797843  398153  1062263  287034  194525  376512 
"512"   156387  167043  949875  473660  216484  1185272  278901  468085 
"1024"   252336  177868  515862  588528  672369  736094  471880  337050  921705 
"2048"   227175  614628  656431  883483  906607  1096941  1124071  1102148  721915  1113002 
"4096"   435884  682450  879539  791341  1040144  1165621  715714  1073956  1081256  1089622  929002 
"8192"   429395  682434  841576  859965  1039855  1097411  1126334  949667  1169820  1081147  1135415  1160809 
"16384"   526070  666423  880287  928857  1100113  1089370  1206561  1131337  1157969  1106739  1127680  1209513  1236077 
"32768"   0  0  0  0  1088566  1183555  923091  1207015  900095  525607  391778  425205  437268 
"65536"   0  0  0  0  917986  653738  560572  575351  887058  637967  1074027  1122611  823254 
"131072"   0  0  0  0  868130  782158  819425  812125  853443  830979  1055704  968657  905399 
"262144"   0  0  0  0  818304  804312  873973  853560  936295  875786  948505  969445  907547 
"524288"   0  0  0  0  829752  850951  862028  932213  811823  896019  810923  937539  827767 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   36677  718114  38163  42779  1421755 
"128"   191070  1082825  1319723  1436229  72395  83666 
"256"   288655  1079348  1319408  253491  1543163  1729594  101624 
"512"   270743  294587  1322500  196246  1550747  1662389  1625889  298228 
"1024"   255033  222943  358158  398464  374132  381951  609145  597036  919140 
"2048"   521113  716317  492773  781698  909006  1060642  595703  1412398  1630647  1124071 
"4096"   603674  973595  920885  1034320  1332929  1233760  1162309  1229961  1517548  1198305  1398806 
"8192"   603460  1014614  962058  1193303  1270662  1415565  1527180  1375445  1332247  1420480  1366474  1463124 
"16384"   695296  887690  1062916  1273530  1371843  1375660  1586549  1475369  1616099  1299074  1364217  1447066  1488794 
"32768"   0  0  0  0  1424137  1388471  1126818  1606988  1559718  673962  444880  492915  1076021 
"65536"   0  0  0  0  927523  1075082  613380  696585  844632  1004043  984337  1292419  1345601 
"131072"   0  0  0  0  865133  901097  1189747  1033918  987620  1140977  1100225  1030416  1007144 
"262144"   0  0  0  0  1192811  1286299  1197485  1357584  1246582  1323157  1099131  1060539  1043675 
"524288"   0  0  0  0  1233375  1315458  1288351  1181907  1257366  1101980  1157820  1168811  1057964 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   50957  1124074  49419  1336792  1828508 
"128"   847059  1231904  169316  1539168  1618028  1911894 
"256"   326881  1208072  1280084  1407621  330809  1814348  1842366 
"512"   186789  167761  603089  250353  522908  1635797  1689859  1610042 
"1024"   259768  812701  283499  833196  1023145  850521  1064479  964986  376890 
"2048"   490298  933099  1126429  1398828  1518244  1461916  743923  1561009  1248028  722948 
"4096"   638590  935783  1134598  1350851  1383375  1467636  1548041  1448823  1442255  1326855  1135273 
"8192"   667921  1023744  1171136  1209347  1346711  1446554  1615727  1464434  1567234  1303836  1414108  1526909 
"16384"   741391  938472  1224601  1375412  1603280  1503287  1690482  1641540  1616898  1427794  1404565  1436299  1593317 
"32768"   0  0  0  0  1549816  1561064  1516972  1606819  1666577  642457  391087  829740  856975 
"65536"   0  0  0  0  1276211  937971  839473  800509  1351197  807908  1032192  1229500  973933 
"131072"   0  0  0  0  1166316  921239  1253282  1186483  1470403  881221  1006149  1215970  1041610 
"262144"   0  0  0  0  1256899  1120632  1200198  1350393  1424407  1165498  1320552  1288918  1347583 
"524288"   0  0  0  0  1144263  1226844  1354854  1334588  1384251  1065326  1243381  1038969  1104708 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   22914  939223  473593  1226821  1392258 
"128"   210141  1032829  1142750  1377278  1057236  1618028 
"256"   272053  142617  1067543  1334162  1437779  140582  140343 
"512"   145663  201721  147727  509993  344103  239145  1442420  320385 
"1024"   117822  289519  350557  372768  358307  1526390  474697  507451  283032 
"2048"   370610  401871  739886  801912  864543  1022513  923370  723435  865239  863760 
"4096"   412325  666563  795187  1218274  1043303  1162624  1227062  1193145  1237492  1281620  1353192 
"8192"   494357  815297  962058  1106743  1332040  1377706  1183316  1296212  1414399  1455008  1300529  1383308 
"16384"   580666  754257  1030960  1143498  1358768  1363297  1453648  1374614  1482979  1318313  1233835  1273932  1545514 
"32768"   0  0  0  0  1272538  1471401  1445055  1528223  1595015  552170  609105  596409  1163634 
"65536"   0  0  0  0  820810  832721  618381  859036  1071616  1158576  1204084  988638  1045048 
"131072"   0  0  0  0  970098  918603  1312361  972092  916331  1010694  1117378  1134675  1207124 
"262144"   0  0  0  0  1131428  1090916  987159  1006144  1056835  1265906  1128491  1248180  1059326 
"524288"   0  0  0  0  1012860  1083302  1323741  1244730  1286478  1158086  1144353  1132109  1234211 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   93019  108686  357529  799377  1002351 
"128"   529038  194180  739689  819893  969421  142526 
"256"   281910  569985  173441  889002  991629  375328  688381 
"512"   154087  414908  374857  302598  1069035  1143004  525082  1163439 
"1024"   204553  423993  554417  514071  532755  287638  468637  611661  584444 
"2048"   261324  617634  757369  893964  1020933  1020933  1057768  1093450  1100454  1040598 
"4096"   351292  558643  709390  790140  1024269  1115445  932836  730380  1180032  927548  1011603 
"8192"   401902  635047  718855  892488  980144  1133692  1173816  1141109  1073111  1029017  1033164  1088787 
"16384"   444913  603481  748742  903445  1031734  1141428  1189395  1132026  1153073  1063541  1070783  1151199  1116685 
"32768"   0  0  0  0  1069240  1140195  1073449  1193214  613474  412015  457654  462673  897608 
"65536"   0  0  0  0  687392  721530  595700  852721  592929  611047  928165  1105869  604486 
"131072"   0  0  0  0  837327  881297  923087  822325  835774  777626  1140042  857800  1052777 
"262144"   0  0  0  0  909451  932767  816905  930379  899555  1034102  942092  949872  817865 
"524288"   0  0  0  0  899944  968209  965559  934696  917638  753127  1010180  798790  907210 

"Backward read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   25010  627470  81324  99834  65236 
"128"   50572  780556  81792  927549  138055  193969 
"256"   322851  267245  1028679  1089202  1254656  1300235  1293967 
"512"   190975  170559  130144  652174  319622  284630  1402845  467575 
"1024"   253273  435559  350586  353210  341092  533880  529732  496367  511256 
"2048"   214561  664300  714113  1125839  882031  441646  924662  1151804  931278  1102856 
"4096"   456379  703896  762912  1002688  1274773  1055676  1120391  1170306  886391  1080168  1263801 
"8192"   503042  759368  871769  952114  1304231  1483785  1141564  1395330  1375886  1162301  1253327  1207731 
"16384"   574939  757182  991654  1174073  1302398  1467054  1546697  1375330  1474831  1178038  1305714  1331597  1440092 
"32768"   0  0  0  0  1367323  1404375  1201265  1541593  468027  512505  867978  720493  1173470 
"65536"   0  0  0  0  781780  675357  461183  917330  906796  1132565  1257212  1233339  1005310 
"131072"   0  0  0  0  881629  937722  1048542  1234175  1109734  1135470  972128  1130954  1318088 
"262144"   0  0  0  0  1048341  1379030  1467837  1331632  1221673  1139355  884237  1076942  1230267 
"524288"   0  0  0  0  1231807  1169862  1302423  1301421  1174041  1004702  1110137  1069235  1071081 

"Record rewrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   187088  83786  113512  852702  874936 
"128"   133324  82256  113077  864797  940549  1096089 
"256"   361066  716876  267179  392620  1132871  227980  294595 
"512"   137414  108542  459964  175278  191111  200067  1091863  308599 
"1024"   162541  249637  313345  251405  396734  500240  579163  349502  353850 
"2048"   130753  483264  591397  796263  724962  827482  872180  869619  1019963  947718 
"4096"   365452  526896  755032  848899  874480  879719  1030474  1122221  951223  832003  1106465 
"8192"   373005  815858  814215  936671  1027080  997588  1008628  1043043  1060328  979417  1159360  1026589 
"16384"   568828  791308  867748  1030635  1109652  1217420  1388614  1130313  1005894  967855  1104995  1105689  1215697 
"32768"   0  0  0  0  1212007  1194562  1281102  1175950  320570  805962  296822  1069274  1038279 
"65536"   0  0  0  0  907011  646675  494615  1026695  664495  793768  877299  707954  787266 
"131072"   0  0  0  0  817502  1204142  1034899  737485  615566  787854  831943  820841  878398 
"262144"   0  0  0  0  917049  1080671  1068218  751002  933806  677964  886214  777414  974820 
"524288"   0  0  0  0  1000015  1019953  917334  1003458  902458  993786  862693  949277  900437 

"Stride read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   35754  821391  939223  1310683  1279447 
"128"   82789  848397  158424  1303699  1363288  1359835 
"256"   249544  836374  1260547  1422540  1588832  249486  212294 
"512"   164158  469312  498509  1484293  638408  721163  337293  1233614 
"1024"   180219  347945  632467  342261  796868  467973  851195  527585  497574 
"2048"   406685  691631  830442  961509  844235  1103990  1002465  1165083  546127  925060 
"4096"   434539  705225  829672  962845  1052442  1220438  1151172  1156441  913492  1231902  1178737 
"8192"   489393  739478  904493  1071839  1326231  1293917  1423718  1207901  1367399  1248001  1210412  1403709 
"16384"   537409  775389  1014297  1143898  942204  1300106  1373598  1517327  1388838  1270963  1309046  1347472  1460258 
"32768"   0  0  0  0  1398673  1413009  1501329  1567331  522091  834025  489409  868279  1315975 
"65536"   0  0  0  0  702323  775895  666375  1056658  919247  994720  977375  619275  933854 
"131072"   0  0  0  0  894713  824497  1002891  1039833  1107298  1073515  1347689  1164742  1126697 
"262144"   0  0  0  0  1036056  1416128  1064548  1399309  1009197  1382746  1133821  1164298  1224692 
"524288"   0  0  0  0  1108075  1245159  1267480  1283742  1146674  1043913  1006875  1128906  1045896 

"Fwrite report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   38272  503814  542506  385790  760859 
"128"   484625  144327  171534  1015251  805138  1096089 
"256"   38232  264481  807442  89824  1040643  790209  1012194 
"512"   175164  292580  209760  143665  159749  518239  220123  242768 
"1024"   201652  252217  178393  353704  339635  293335  327990  490920  539785 
"2048"   315762  458354  476720  679701  669529  639807  670574  769100  598276  746055 
"4096"   365717  479686  662782  746081  773143  804534  762336  794231  805326  749629  1063913 
"8192"   404466  537107  614457  746288  781528  903994  761758  845324  840033  938154  852095  1157875 
