	Iozone: Performance Test of File I/O
	        Version $Revision: 3.492 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Mon Nov 22 16:53:00 2021

	Excel chart generation enabled
	Auto Mode
	Command line used: iozone -Ra
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    68744   104214    16994   598110   176392   188798   126512     53073     84312    68307   388021    62560    68377
              64       8   201255   532815   608965   863676   520419   457452   447537     35261    115764   397208   367817   516414   511494
              64      16    27826   516414   852702    75280   546928   312204   489126    520419     39728    25196   353760    37734   598110
              64      32   119421   983980  1049372    75280   771797   720041   769584    557144    799377    80495    68238   598110   916769
              64      64   166233   608965  1168097   842003   987600   393135    27291    695778    913649   515423   901377   673098  1163036
             128       4    23598   378663   237049   595328   123566   355589    76468     51777     57249   171152    49381    84937   533241
             128       8   147297   600657    74329   393656   627328   501839    27991    579270    650117   166430   187140    34896   506097
             128      16   217373   766076  1000121    85957    41330   646983   695603    288205    785122    83109   707520    65609   222601
             128      32    67549   227313   761728   895074   895074   107939   731625     32113   1000121   767171    49327   794416  1000121
             128      64   419822   731625   876086   703810    66388   377597   824932     64747    864797   445978   438331   747933   263455
             128     128   237049   848397  1040839  1504659   895074   864797    28836    136026    677178    90721   901083   927549   147459
             256       4    67830   127103   103815   406904   453858   254996   475147    148927    106757   240597   273230   562520   382685
             256       8    53332   370536   716876   689708   552960   355096   629094    219902     64808    71684   298360   624339   583299
             256      16    45269   714967   870974    91290   389064   649647   146629    150662    977189    72131   435452   820398   315638
             256      32    65846   468922  1024752   163063   125249   714967   847597    812944    149259   139053   725106   174626   200145
             256      64   340351  1007446   977189   316849   948698   506767   792543    439912   1180188   357579   467900  1163562  1075025
             256     128   289980   603970  1384034   169311  1254656   882426    65588    999940   1332507   455592   482189   156595  1208072
             256     256    98727   980760  1148625   630572  1280084   101991    74416    958864    178635   907792   615393   941213  1334162
             512       4   138754   413549   111913   143368   164258   303496   187001    164107    364177   174269   345487    80949   377625
             512       8   152608   454224   291587   118817   514637   213344   262695    319622    333988    77929   274095   274656   572691
             512      16    98104   225651   206195   609421   183910   493696   103689    740816    579804   227444   473555   179213   508423
             512      32   320816   853257  1302447   192844    99343   250499   294951    236720   1190529   525082   564561   896725   575917
             512      64   141162   644733   309935   576535   652174   618371   267106    231664    425597   141749   597551   263113  1129775
             512     128   330952   649806   130611   690108   285539   662230   129025    259646    142938   256268   465952   277352   735488
             512     256   103519   857687  1108203   850554  1127402   602919   255750    523035    117241   206274   814117   400589   779258
             512     512   371292   859060   232643   784094   279154   588544   617659    825699    128293   249278   368362   605299   831132
            1024       4   118189   487631   300204   196774   317233   279387   124528    314400    264797   243412   288527   102677   336627
            1024       8   113213   440834   274898   584126   180568   414220   184406    195378    292736   178031   317914   269974   509739
            1024      16   145578   549031   215807   394910   165084   499542   199804    316439    506195   203217   466094   759122   336179
            1024      32   415421   597369   216079   613145   253139   656340   475590    258845    267086   328617   558019   507691   909410
            1024      64   430279   655139   463779  1040496   173556   581831   380529    531436    539243   262163   571381   450687   902151
            1024     128   212982   711110   379387   885778   894262   853903   950675    440021   1729884   249449   735590   958739   949834
            1024     256   247351   845498   696126   921705   184509   529732   470330    471673    707129   497574   771670  1000037   948157
            1024     512   352369   307226   737231   987619   418294   585479   428433    272405    430408    94161   168009   225400   567906
            1024    1024   187612   306393   851870   214086   343492   743742   776834    238307    357651   745938   588851   209063   899883
            2048       4   128862   254382   290998   213002   263270   168490   250123    186264    235374   206435   240097   307048   292574
            2048       8   207227   325761   413558   341048   321505   358978   259830    460023    238385   363505   249455   591072   657889
            2048      16   342463   619103   228675   755171   466950   278714   433161    254978    556818   435930   232828   494219   587153
            2048      32   418637   664094   247129   730138   453299   322725   510218    208742    411084   253653   234917   331544   458183
            2048      64   341048   338856   617989   452678   309739   596945   334853    631528    602683   244213   595002   471021   352251
            2048     128   456406   284248   969211  1062741   259838   608791   616348    294935    679916   548639   306632   596738  1287111
            2048     256   249875   733254   856526   853377   748264   611174   508797    540662    430879   294925   814303   417700   952975
            2048     512   229212   365516   559429   834881   391362   480077   924562    412169    496361   700429   726249   961939   953504
            2048    1024   412307   818260   553946  1169684   574969   309181   552307    761059    298419   663427   943761   894337   936456
